id_hecho,N_VICTIMAS,FECHA,HORA,TIPO_DE_CALLE,Dirección Normalizada,COMUNA,pos x,pos y,VICTIMA,ACUSADO
2016-0144,1,11/7/2016,12:10:00,AVENIDA,"BROWN, ALTE. AV. 984",4,-58.35975012,-34.63343907,PEATON,PASAJEROS
2016-0145,1,11/7/2016,20:56:00,AVENIDA,DEL LIBERTADOR AV. y LA PAMPA,13,-58.44523595,-34.55953855,MOTO,AUTO
2016-0146,1,11/9/2016,20:00:00,AVENIDA,PICHINCHA AV. y BRASIL,4,-58.39626094,-34.63036565,PEATON,PASAJEROS
2016-0147,1,11/16/2016,21:15:00,AVENIDA,"INDEPENDENCIA AV. y CEVALLOS, VIRREY",1,-58.38896772,-34.61799615,MOVIL,PASAJEROS
2016-0148,1,11/16/2016,22:20:00,AVENIDA,GARMENDIA AV. 4895,15,-58.46536113,-34.59484504,MOTO,MOTO
2016-0150,1,11/18/2016,18:20:00,AVENIDA,"ALCORTA, AMANCIO AV. y TABORDA, DIOGENES",4,-58.40879146,-34.65273216,CARGAS,CARGAS
2016-0151,1,11/18/2016,20:35:00,CALLE,SD,0,.,.,PEATON,AUTO
2016-0152,1,11/23/2016,21:10:00,AVENIDA,"MORENO, PERITO AV. y ZUVIRIA",7,-58.46451841,-34.64991946,MOTO,AUTO
2016-0153,1,11/25/2016,15:42:00,AVENIDA,ARAOZ y CORDOBA AV.,15,-58.42917090,-34.59485488,PEATON,MOTO
2016-0154,1,11/26/2016,14:14:00,GRAL PAZ,"PAZ, GRAL. AV. 15200",8,-58.49007772,-34.68251141,MOTO,MOTO
2016-0155,1,11/26/2016,16:50:00,CALLE,MADERO 900,10,-58.52756365,-34.62772274,PEATON,AUTO
2016-0156,1,11/26/2016,19:40:00,AVENIDA,INDEPENDENCIA AV. y DEAN FUNES,3,-58.40638983,-34.61943202,MOTO,PASAJEROS
2016-0157,1,12/3/2016,6:40:00,AVENIDA,"JUSTO, JUAN B. AV. 5645",11,-58.47576807,-34.61740997,MOTO,MOTO
2016-0159,1,12/4/2016,7:21:00,AVENIDA,27 DE FEBRERO AV. y ESCALADA AV.,8,-58.44451316,-34.68475866,AUTO,AUTO
2016-0160,1,12/6/2016,5:30:00,AUTOPISTA,AUTOPISTA PERITO MORENO (ALTURA VELEZ SARSFIELD),9,-58.51927194,-34.63635787,CARGAS,OBJETO FIJO
2016-0161,1,12/6/2016,7:22:00,AVENIDA,SANTA FE AV. y GODOY CRUZ,14,-58.42525456,-34.57866344,PEATON,PASAJEROS
2016-0162,1,12/7/2016,5:00:00,AVENIDA,"LACROZE, FEDERICO AV. y FOREST AV.",15,-58.45396573,-34.58518167,PEATON,AUTO
2016-0163,1,12/10/2016,7:30:00,GRAL PAZ,"PAZ, GRAL. AV. y MOSCONI GENERAL AV.",11,-58.52340614,-34.59798754,MOTO,AUTO
2016-0164,1,12/11/2016,6:16:00,AVENIDA,"LA PLATA AV. y POMAR, GREGORIO TTE. CNEL.",4,-58.42323628,-34.64119105,AUTO,AUTO
2016-0165,1,12/12/2016,8:25:00,AVENIDA,"GARCIA, MARTIN AV. 300",4,-58.36926144,-34.62841919,BICICLETA,PASAJEROS
2016-0168,1,12/13/2016,10:40:00,AVENIDA,"LA PLATA AV. y POMAR, GREGORIO TTE. CNEL.",4,-58.42323628,-34.64119105,MOTO,AUTO
2016-0169,1,12/15/2016,15:30:00,AVENIDA,"NUÃ‘EZ y BALBIN, RICARDO, DR. AV.",12,-58.47935434,-34.55676497,MOTO,PASAJEROS
2016-0170,1,12/19/2016,17:10:00,GRAL PAZ,"PAZ, GRAL. AV. 4500",12,-58.50598256,-34.56379980,MOTO,AUTO
2016-0171,1,12/25/2016,19:00:00,AUTOPISTA,"HUERGO, ING. AV. y AUTOPISTA 25 DE MAYO",1,-58.36607137,-34.62150748,MOTO,MOTO
2016-0172,1,12/26/2016,8:00:00,AVENIDA,"GARAY, JUAN DE AV. y CASTRO",5,-58.41918902,-34.63174259,MOTO,CARGAS
2016-0173,1,12/26/2016,19:52:00,AVENIDA,DIRECTORIO AV. y SAN PEDRITO AV.,7,-58.46749188,-34.63551751,MOTO,CARGAS
2016-0174,1,12/27/2016,0:00:00,AUTOPISTA,AUTOPISTA 25 DE MAYO,0,.,.,MOTO,AUTO
2016-0175,1,12/27/2016,8:15:00,CALLE,"FALCON, RAMON L.,CNEL. y MEMBRILLAR",7,-58.46064174,-34.62960517,PEATON,BICICLETA
2016-0176,1,12/28/2016,1:41:00,AVENIDA,BELGRANO AV. y PASEO COLON AV.,1,-58.36956186,-34.61232875,MOTO,PASAJEROS
2016-0177,1,12/29/2016,4:00:00,CALLE,ARENALES 3319,14,-58.40966671,-34.58788235,PEATON,AUTO
2016-0178,1,12/30/2016,16:18:00,CALLE,REPUBLICA BOLIVARIANA DE VENEZUELA y SAAVEDRA,3,-58.40288226,-34.61544091,PEATON,MULTIPLE
2017-0001,1,1/2/2017,1:00:00,AVENIDA,"JUSTO, JUAN B. AV. y ACHUPALLAS",11,-58.46594230,-34.61028571,MOTO,CARGAS
2017-0003,1,1/5/2017,3:10:00,AVENIDA,OLAVARRIA y VELEZ SARSFIELD AV.,4,-58.38957669,-34.64410277,CARGAS,CARGAS
2017-0007,1,1/11/2017,17:00:00,CALLE,LIMA y MEXICO,1,-58.38161660,-34.61529543,PEATON,MULTIPLE
2017-0008,1,1/16/2017,0:40:00,CALLE,"CABRERA, JOSE A. y BONPLAND",14,-58.43917004,-34.58494351,MOTO,PASAJEROS
2017-0009,1,1/16/2017,13:56:00,AUTOPISTA,AUTOPISTA 25 DE MAYO y BOEDO AV.,5,-58.41595919,-34.62743346,MOTO,CARGAS
2017-0010,1,1/16/2017,16:30:00,AVENIDA,DIRECTORIO AV. y RIGLOS,6,-58.43564880,-34.62828656,MOTO,AUTO
2017-0011,1,1/22/2017,2:30:00,GRAL PAZ,"PAZ, GRAL. AV. y BALBIN, RICARDO, DR. AV.",12,-58.50073810,-34.54979510,MOTO,OBJETO FIJO
2017-0012,1,1/24/2017,14:00:00,CALLE,"TRAFUL y TABORDA, DIOGENES",4,-58.40969005,-34.65055290,MOTO,CARGAS
2017-0013,1,1/27/2017,7:00:00,AVENIDA,"IRIARTE, GRAL. AV. 3055",4,-58.38972622,-34.65098981,PEATON,CARGAS
2017-0014,1,1/28/2017,8:27:34,AVENIDA,DONADO y ARIAS,12,-58.49185972,-34.55046754,MOTO,MULTIPLE
2017-0015,1,2/2/2017,15:18:03,AVENIDA,CORDOBA AV. y CALLAO AV.,2,-58.39293417,-34.59963642,PEATON,AUTO
2017-0016,1,2/3/2017,5:12:21,AUTOPISTA,AUTOPISTA 25 DE MAYO KM. 8.3,1,-58.38099494,-34.62288231,MOTO,CARGAS
2017-0017,1,2/6/2017,8:00:00,AVENIDA,"JUSTO, JUAN B. AV. y PARAGUAY",14,-58.42901200,-34.58095431,MOTO,AUTO
2017-0018,1,2/9/2017,7:00:00,GRAL PAZ,"PAZ, GRAL. AV. y DE LOS CORRALES AV.",9,-58.50877521,-34.66977709,MOTO,AUTO
2017-0021,1,2/18/2017,5:30:00,CALLE,SARMIENTO y LIBERTAD,1,-58.38362373,-34.60509972,MOTO,PASAJEROS
2017-0024,1,2/23/2017,20:50:00,AVENIDA,RIVADAVIA AV. 7121,7,-58.46589308,-34.62955795,PEATON,PASAJEROS
2017-0025,1,2/24/2017,17:05:00,AVENIDA,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. y RIVERA INDARTE AV.",7,-58.43614426,-34.65424640,MOTO,AUTO
2017-0026,2,2/26/2017,5:15:00,AVENIDA,"MORENO, PERITO AV. y FOURNIER",4,-58.41842777,-34.64979057,AUTO,OBJETO FIJO
2017-0027,1,2/26/2017,21:57:00,AVENIDA,CASEROS AV. 1429,1,-58.38332245,-34.63193250,PEATON,AUTO
2017-0028,1,2/28/2017,9:20:00,AVENIDA,GAONA AV. y FRAGATA PRES. SARMIENTO,6,-58.45475488,-34.61196327,PEATON,AUTO
2017-0029,1,3/7/2017,2:15:00,CALLE,MOZART y TANDIL,9,-58.48501341,-34.64742455,MOTO,AUTO
2017-0030,1,3/7/2017,8:00:00,AVENIDA,MOZART y AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,9,-58.47010988,-34.65872088,AUTO,PASAJEROS
2017-0031,1,3/11/2017,1:30:00,CALLE,24 DE NOVIEMBRE y PAVON,3,-58.40997560,-34.62873635,AUTO,OBJETO FIJO
2017-0032,1,3/12/2017,5:00:00,GRAL PAZ,"PAZ, GRAL. AV. y LOS CEDROS",8,-58.48892175,-34.68359163,AUTO,AUTO
2017-0033,1,3/12/2017,7:30:00,GRAL PAZ,"PAZ, GRAL. AV. y GUTIERREZ, RICARDO",11,-58.52466448,-34.60325478,AUTO,AUTO
