,id,start_date,end_date,created_on,latitud,longitud,place_l2,place_l3,place_l4,place_l5,place_l6,operation,property_type,property_rooms,property_bedrooms,property_surface_total,property_surface_covered,property_price,property_currency,property_title
343452,8I4WV0M6Gjh3ag7DC1r1fQ==,2021-08-11,2021-08-12,2021-08-11,-34.5846482,-58.4366749,Capital Federal,Palermo,,,,Venta,Departamento,3.0,2.0,95.0,60.0,169000.0,USD,Departamento/PH Palermo Hollywood/Patio-Terraza.
22757,geztbPdI9wPqCxmSwtqMew==,2021-10-01,2022-02-09,2021-10-01,-34.578102,-58.412934,Capital Federal,Palermo,,,,Venta,Departamento,2.0,1.0,66.0,60.0,190000.0,USD,VENTA 2 AMB DUPLEX DESARROLLO DE CAT PALERMO CHICO
426970,kKEjJERF3H76p5Jpw+tUqg==,2021-12-16,2022-02-09,2021-12-16,-34.636907,-58.374749,Capital Federal,Barracas,,,,Venta,Departamento,3.0,2.0,105.0,99.0,210000.0,USD,3 AM CON DEPENDENCIAS EN BARRACAS LUMINOSO-PERMUTA
19951,RK+e56tUlHP7Hi6AW0vAFA==,2021-01-27,2021-06-08,2021-01-27,-34.6039087,-58.3851282,Capital Federal,San Nicolás,,,,Venta,Departamento,1.0,,36.0,36.0,60000.0,USD,Departamento - Centro (Capital Federal)
100055,NrgDm1GERiWB30feL6Kgkw==,2021-10-30,9999-12-31,2021-10-30,-34.5788613,-58.4840329,Capital Federal,Villa Urquiza,,,,Venta,Departamento,1.0,,40.0,36.0,120000.0,USD,EXCELENTE Dpto   c/Fte Super ABIERTO con BALCON MUY LUMINOSO BAJAS EXPENSAS en URQUIZA R
206045,/FB4t6g1LbGpMCs0VLlgRA==,2021-03-09,2021-03-10,2021-03-09,-34.6191459,-58.4632155,Capital Federal,Flores,,,,Venta,Departamento,1.0,,36.0,31.0,65000.0,USD,DPTO MONOAMBIENTE A ESTRENAR C/BALCON Y AMENITIES
295575,HWemjIEpn+g/3PYmayJHAA==,2021-07-23,2021-10-03,2021-07-23,-34.5739333,-58.4603084,Capital Federal,Belgrano,,,,Venta,Departamento,2.0,1.0,53.0,45.0,187000.0,USD,Departamentos en pozo - Belgrano R
445956,Q5S8KavWTF3PKXQM6NRNFQ==,2021-01-14,2021-01-15,2021-01-14,-34.54307,-58.4625859,Capital Federal,Nuñez,,,,Venta,Departamento,2.0,1.0,56.0,51.0,199000.0,USD,Departamento - L.De Nuñez
241147,q3iybHdpueAnY/dp52JHPQ==,2021-04-11,2021-06-05,2021-04-11,-34.568322,-58.467529,Capital Federal,Belgrano,,,,Venta,Casa,5.0,4.0,538.0,520.0,1200000.0,USD,Casa - Belgrano R
106858,BRCdQJap/i4VOBCt/qar9A==,2021-03-11,2021-05-21,2021-03-11,-34.5525943,-58.4429397,Capital Federal,Belgrano,,,,Venta,Departamento,3.0,2.0,67.0,60.0,280000.0,USD,Departamento - Belgrano C
431311,O9QlS1esWroqrSqnmZ6XJg==,2021-12-16,2022-02-09,2021-12-16,-34.57155,-58.487456,Capital Federal,Villa Urquiza,,,,Venta,Departamento,2.0,1.0,54.0,45.0,149000.0,USD,DEPTO 2 AMBIENTES- FULL AMENITIES-COCHERA-BAULERA
233431,VMMqZFDJmv0vAvBI6kkjCQ==,2021-03-20,2021-07-20,2021-03-20,-34.6154092329,-58.3998441696,Capital Federal,Balvanera,,,,Venta,Departamento,3.0,2.0,83.0,83.0,138000.0,USD,DEPARTAMENTO 3 AMBIENTES CON COCHERA EN VENTA
93146,KKBMnd3j7PEO9iAy1vH6Hg==,2021-08-03,2021-08-19,2021-08-03,-34.6016483,-58.4419071,Capital Federal,Villa Crespo,,,,Venta,Departamento,2.0,1.0,38.0,37.0,78000.0,USD,departamento  2 ambientes villa crespo financiado
